Party,Sub Party,Sales Person,Sales Branch,Sales Person.0,Article,Blend,Width,GSM,Color,Lab No.,Lot No,Challan No.,Qty (Kg),Qty (Mtr.),No. of Taka,Type of Finish,Type of Packing,Remarks,Order Number,,Manual Conf.
CKU,SILVERTRAQ INTERNATINAL,PIYUSH(CKU),,,C-715FA,PS,60,160,CADET,CKU-HF-215,18046,K-02751,168.6,,7,SOFT WICKING(EXHAUST METHOD)+ANTIMICROBIAL,Rolling,,CKU-1634,,
CKU,DIDA SPORTS,PIYUSH(CKU),,,C-735F-62,PS,60,260,NAVY BLUE,CKU-21775,18052,K-02757,215,,8,SOFT WICKING,Rolling,,CKU-1639,,
CKU,PIYUSH SIR,PIYUSH(CKU),,,"C-917F(90% NYLON,10% SPANDEX)",NS,60,150,RITESH SIR TRAIL,RITESH SIR TRAIL,18173,KDC-2779,115.9,,4,SOFT FINISH,Rolling,,CKU-1652,,
CKU,PIYUSH SIR,PIYUSH(CKU),,,"C-917F(90% NYLON,10% SPANDEX)	",NS,60,150,RITESH SIR TRIAL ,RITESH SIR TRIAL ,18174,KDC-2780,121.55,,4,SOFT FINISH,Rolling,,CKU-1653,,
CKU,B.K ENTERPRISES,PIYUSH(CKU),,,C-233-70,CS,72,220,FAWN,CL-40372,18042,K-02747,203.3,,6,SILICON FINISH,Rolling,,CKU-1660,,
CKU,CUP COUTURE,PIYUSH(CKU),,,C-656A,P,63,105,MOCHA,M-5170,18135,K-02774,349.6,,14,SOFTWICKING(EXHAUSTMETHOD)+ANTITHERMAL(DRYNWET),Rolling,,CKU-1668,,
CKU,G S P Apparels (Tirupur),PIYUSH(CKU),,,C-930(85%NYLON 15%SPANDEX),NS,62,105,TEAL ,PENDING ,18285,-,195.8,,7,SOFT WICKING(EXHAUST METHOD),Rolling,,CKU-1671,,
CKU,G S P Apparels (Tirupur),PIYUSH(CKU),,,C-930(85%NYLON 15%SPANDEX),NS,62,105,OLIVE ,PENDING,18286,-,192.5,,7,SOFT WICKING(EXHAUST METHOD),Rolling,,CKU-1672,,
CKU,G S P Apparels (Tirupur),PIYUSH(CKU),,,C-930(85%NYLON 15%SPANDEX),NS,62,105,BLACK,PENDING,18287,-,195.1,,7,SOFT WICKING(EXHAUST METHOD),Rolling,,CKU-1673,,
GINZA UDHNA,FREEWILL SPORTS,VIRENDER,,,L-3009 / PS / 130’’,PS,58’’,220,BLACK,OLD LOT 16801 OK,16802,,405,808,10,SOFT WICKING ( old lot 16801 ok ROLLING,Rolling,,ORD-20035,,
GINZA UDHNA,FREEWILL SPORTS,VIRENDER,,,L-3009 / PS / 130’’,PS,58’’,220,BLACK,OLD LOT 16801 OK,16803,,385,770,10,SOFT WICKING ( old lot 16801 ok ROLLING,Rolling,,ORD-20036,,
GINZA UDHNA,POOMER FASHION,VIRENDER,,,L-4008A / NS / 130’’,NS,60’’,185-195,CREAM,N-21106 OLD LOT 4090,14841,,205,614,5,SUPER SOFT ROLLING,Rolling,,ORD-20037,,
GINZA UDHNA,GINZA UDHNA,KULDEEP,,,A-514/N-66,NN,56’’,,GAJARI,N-35584,18397,,198.46,1545,15,SOFT FINISH F K,Rolling,,ORD-20045,,
CKU,Cup Couture (Chennai),PIYUSH(CKU),,,C-672,P,64,120,PEARL PEACH CKU-19090,CKU-19090,18293,KDC-2786,170.9,,7,SOFT WICKING (EXHAUST METHOD)+ANTITHERMAL (DRY N WET),Rolling,,CKU-1675,,
CKU,Cup Couture (Chennai),PIYUSH(CKU),,,C-672,P,64,120,LILAC CKU-22283,CKU-22283,18294,KDC-2787,171.2,,7,SOFT WICKING (EXHAUST METHOD)+ANTITHERMAL (DRY N WET),Rolling,,CKU-1676,,
CKU,Cup Couture (Chennai),PIYUSH(CKU),,,C-672,P,64,120,NAVY HF-3127,HF-3127,18295,KDC-2788,170.5,,7,SOFT WICKING (EXHAUST METHOD)+ANTITHERMAL (DRY N WET),Rolling,,CKU-1677,,
CKU,Cup Couture (Chennai),PIYUSH(CKU),,,C-656A(100%POLYFILA),P,63,105,V J FROST CKU-18737,CKU-18737,18303,KDC-2796,174.5,,7,SOFT WICKING (EXHAUST METHOD)+ANTITHERMAL (DRY N WET),Rolling,,CKU-1682,,
CKU,Cup Couture (Chennai),PIYUSH(CKU),,,C-656A(100%POLYFILA),P,63,105,V LILAS SNOW CKU-22069,CKU-22069,18305,KDC-2798,75,,3,SOFT WICKING (EXHAUST METHOD)+ANTITHERMAL (DRY N WET),Rolling,,CKU-1684,,
GINZA UDHNA,PRISM CLOTHING,VIRENDER,,,L-74 / NS / 130’’,NS,60’’,190,GOLD,N-45208,1354,,394,986,10,SUPER SOFT ROLLING,Rolling,,ORD-20156,,
GINZA UDHNA,MAHIL TEX,VIRENDER,,,L-4008A / NS / 130’’,NS,61’’,185-195,ROSE GOLD,N-31763 OLD LOT 12677 OK,18362,,393,1181,10,"SUPER SOFT Roll ,wrapping+party patta",Rolling,"Roll ,wrapping+party patta",ORD-20160,,
GINZA UDHNA,MAHIL TEX,VIRENDER,,,L-4008A / NS / 130’’,NS,61’’,185-195,DARK GOLD,N-35389 OLD LOT 1378 OK,18363,,400,1203,10,"SUPER SOFT Roll ,wrapping+party patta",Rolling,"Roll ,wrapping+party patta",ORD-20161,,
GINZA UDHNA,MAHIL TEX,VIRENDER,,,L-4008A / NS / 130’’,NS,61’’,185-195,SILVER,N-35662 OLD LOT 12675 OK,18390,,395,1182,10,"SUPER SOFT Roll ,wrapping+party patta",Rolling,"Roll ,wrapping+party patta",ORD-20163,,
GINZA UDHNA,POOMER FASHION,VIRENDER,,,L-4008A / NS / 130’’,NS,"60""",185-195,STRAW BERRY,OLD LOT 9955,18393,,118,356,3,SUPER SOFT ROLLING,Rolling,,ORD-20167,,
GINZA UDHNA,b. k. Ent,VIRENDER,,,L-92B / NS / 130’’,NS,58’’,320,SKIN,N-50/16957,18371,,105,199,3,SOFT KATI,Rolling,,ORD-20179,,
GINZA UDHNA,b. k. Ent,VIRENDER,,,L-92B / NS / 130’’,NS,58’’,320,GREY,N-9951,18372,,105,200,3,SOFT KATI,Rolling,,ORD-20180,,
GINZA UDHNA,GINZA UDHNA,VIRENDER,,,TR-520 / NS / 85’’,NS,58’’,155,WHITE,REGULAR,18532,,370,1480,14,SOFT KATI,Rolling,,ORD-20186,,
GINZA UDHNA,FREEWILL SPORTS,VIRENDER,,,L-3009 / PS / 130’’,PS,58’’,220,BLACK,OLD LOT 16801 OK,18429,,412,824,10,SOFT WICKING ( old lot 16801 ok,Rolling,,ORD-20191,,
GINZA UDHNA,JOCKEY,VIRENDER,,,TR-1 / NS / 85’’,NS,57’’,130,V ALMONDINE,LAB NO.,18423,,102,514,4,JOCKEY ROLLING,Rolling,,ORD-20192,,
GINZA UDHNA,GINZA UDHNA,VIRENDER,,,L-74 / NS / 130’’,NS,60’’,200,SILVER,OLD LOT 14845,18356,,314,785,8,SOFT ROLLING,Rolling,,ORD-20195,,
GINZA UDHNA,GINZA UDHNA,VIRENDER,,,L-74 / NS / 130’’,NS,60’’,200,SILVER,OLD LOT 14845,18345,,396,990,10,SOFT ROLLING,Rolling,,ORD-20196,,
GINZA UDHNA,GINZA UDHNA,VIRENDER,,,L-74 / NS / 130’’,NS,60’’,200,SILVER,OLD LOT 14845,18346,,198,495,5,SOFT ROLLING,Rolling,,ORD-20197,,
GINZA UDHNA,GINZA UDHNA,VIRENDER,,,L-74 / NS / 130’’,NS,60’’,200,GOLD,OLD LOT 6862,18344,,402,1007,11,SOFT ROLLING,Rolling,,ORD-20198,,
GINZA UDHNA,GINZA UDHNA,VIRENDER,,,L-74 / NS / 130’’,NS,60’’,200,GOLD,OLD LOT 6862,18347,,195,488,5,SOFT ROLLING,Rolling,,ORD-20199,,
GINZA UDHNA,GINZA UDHNA,VIRENDER,,,L-74 / NS / 130’’,NS,60’’,200,LIGHT GOLD,OLD LOT 13074,18351,,395,989,10,SOFT ROLLING,Rolling,,ORD-20200,,
CKU,NAIDU HALL APPARELS,PIYUSH(CKU),,,C-917A-72,NS,65,160,LIGHT SKIN,N-46237,16778,K-02456,301,,10,SOFT FINISH,Rolling,,CKU-1687,,
CKU,NAIDU HALL APPARELS,PIYUSH(CKU),,,C-917A-72,NS,65,160,LIGHT SKIN,N-46237,16779,K-02457,30,,1,SOFT FINISH,Rolling,,CKU-1688,,
CKU,PIYUSH SIR,PIYUSH(CKU),,,C-655 BLACK-59,P,60,150,RFD,RFD,18440,KDC-2801,411.95,,14,SOFT WICKING,Rolling,,CKU-1692,,
CKU,Ginza Industries Limited (SGU),PIYUSH(CKU),,,C-732(90%POLYESTER 10%SPANDEX),PS,60,180,PEACH SKIN,CKU-15809,18450,KDC-2811,84.7,,3,SOFT FINISH,Rolling,,CKU-1694,,
CKU,Ginza Industries Limited (SGU),PIYUSH(CKU),,,C-732(90%POLYESTER 10%SPANDEX),PS,60,180,PEACH SKIN,CKU-15809,18449,KDC-2810,192.2,,7,SOFT FINISH,Rolling,,CKU-1695,,
CKU,Ginza Industries Limited (SGU),PIYUSH(CKU),,,C-732(90%POLYESTER 10%SPANDEX),PS,60,180,ASH GREY,CKU-15814,18446,KDC-2807,197.6,,7,SOFT FINISH,Rolling,,CKU-1698,,
CKU,CULTSPORTS/AMBERNATH,PIYUSH(CKU),,,C-735F-62,PS,60,260,NAVY,HF-3384,15855,K-02296,152.8,,6,SOFT WICKING,Rolling,,CKU-1701,,
CKU,CULTSPORTS/AMBERNATH,PIYUSH(CKU),,,C-735F-62,PS,60,260,NAVY,HF-3384,15855 D,K-02296,53,,2,SOFT WICKING,Rolling,,CKU-1702,,
CKU,Ginza Industries Limited (SGU),PIYUSH(CKU),,,C-732(90%POLYESTER 10%SPANDEX),PS,60,180,GRASS,CKU-15811,18445,KDC-2806,197.7,,7,SOFT FINISH,Rolling,,CKU-1705,,
GINZA UDHNA,JOCKEY,VIRENDER,,,TR-1 / NS / 85’’,NS,57’’,130,V W SKIN,MATCH TO STD (lot 16520 ok ),18637,,311,1559,12,JOCKEY ROLLING,Rolling,,ORD-20458,,
CKU,PAGE INDUSTRIES LTD UNIT-12,PIYUSH(CKU),,,C-622KG,P,62,100,W BLACK,AS PER LOT NO-20136,,KDC-2829,205.8,,11,SOFT WICKING(EXHAUST METHOD),Rolling,,CKU-1709,,
CKU,PIYUSH SIR,PIYUSH(CKU),,,C-732 (90%POLY 10% SPANDEX),PS,60,180,CONFIRM WITH RITESH SIR,-,18516,KDC-2813,28.05,,1,SOFT FINISH,Rolling,ALL PARAMETERS CONFIRM WITH RITESH SIR,CKU-1713,,
CKU,PIYUSH SIR,PIYUSH(CKU),,,C-715F,PS,-,-,CONFIRM WITH RITESH SIR,-,18517,KDC-2814,20.1,,1,-,Rolling,RITESH SIR TRIAL,CKU-1714,,
CKU,PIYUSH SIR,PIYUSH(CKU),,,NEW SAMPLE-1458,PS,60,270,STEEL GREY,M-3459,18518,KDC-2815,54.5,,2,SOFT WICKING(EXHAUST METHOD),Rolling,RITESH SIR TRIAL,CKU-1715,,
CKU,PIYUSH SIR,PIYUSH(CKU),,,NEW SAMPLE-1458,PS,60,270,STEEL GREY,M-3459,18519,KDC-2816,66,,2,SOFT WICKING(EXHAUST METHOD),Rolling,RITESH SIR TRIAL,CKU-1716,,
CKU,PIYUSH SIR,PIYUSH(CKU),,,C-735A-60,PS,-,-,CONFIRM WITH RITESH SIR,-,18520,KDC-2818,27.4,,1,-,Rolling,ALL PARAMETERS CONFIRM WITH RITESH SIR,CKU-1717,,
CKU,PIYUSH SIR ,PIYUSH(CKU),,,NEW SAMPLE-1458,PS,60,270,STEEL GREY,M-3459,18584,KDC-2830,57.5,,2,SOFT WICKING(EXHAUST METHOD),Rolling,RITESH SIR TRAIL,CKU-1721,,
CKU,PIYUSH SIR,PIYUSH(CKU),,,NEW SAMPLE-1458,PS,60,270,STEEL GREY,M-3459,18586,KDC-2831,57.2,,2,SOFT WICKING(EXHAUST METHOD),Rolling,RITESH SIR TRAIL,CKU-1722,,
GINZA UDHNA,KRISHNA EMB.,VIRENDER,,,TR-520 / NS / 85’’,NS,58’’,155,ROYAL BLUE,N-21036,18751,,181,726,7,SOFT KATI,kanti,,ORD-20617,,
GINZA UDHNA,SGU,VIRENDER,,,TR-1 / NS / 58’’,NS,58’’,130,BLUE,N-40199,18755,,76,384,3,SOFT KATI,kanti,,ORD-20619,,
CKU,Makhija Brothers (Ulhasnagar),PIYUSH(CKU),,,C-917A-62,NS,60,150,PEACH,N-42397,18522,KDC-2819,199.2,,8,SOFT FINISH,Rolling,,CKU-1726,,
CKU,Garland Apparels (Tirupur),PIYUSH(CKU),,,C-917A-72,NS,65,160,WINE,N-31042,18679,KDC-2833,19.2,,1,SOFT FINISH,Rolling,,CKU-1730,,
CKU,Fabricera Industries (New Delhi),PIYUSH(CKU),,,NEW DEVELOPMENT-216C(Polyester100%),P,60,210,BLACK,CKU-19834,18687,KDC-2841,428.7,,14,SOFT FINISH,Rolling,,CKU-1736,,
CKU,Cup Couture (Chennai),PIYUSH(CKU),,,C-656A(100%POLYFILA),P,63,105,MOCHA M-5170,M-5170,18690,KDC-2844,148.5,,6,SOFTWICKING(EXHAUSTMETHOD)+ANTITHERMAL(DRYNWET),Rolling,,CKU-1739,,
CKU,Raji Exports (Tirupur),PIYUSH(CKU),,,NEW DEVELOPMENT-215C(Polyester100%),P,64,170,BROWN,PENDING,18680,KDC-2834,399,,14,SILICON FINISH,Rolling,,CKU-1740,,
CKU,Raji Exports (Tirupur),PIYUSH(CKU),,,NEW DEVELOPMENT-215C(Polyester100%),P,64,170,BLACK,PENDING,18681,KDC-2835,398.7,,14,SILICON FINISH,Rolling,,CKU-1741,,
GINZA UDHNA,GINZA UDHNA,KULDEEP,,,JL-228/N-66,NN,54’’,,GAJARI,N-45892,18415,,40.58,203,2,SOFT FINISH F K,Rolling,FINISH QUALITY 5.20 MTR,ORD-20627,,
GINZA UDHNA,PAGE,SUNIL,,,A-1519B/P/65”,PP,58’’,,V W SKIN,,16528,,174.5,662.5,5,ROLLING,Rolling,,ORD-20652,,
GINZA UDHNA,PAGE,SUNIL,,,A-1519B/P/65”,PP,58’’,,V W SKIN,,16529,,173.9,660,5,ROLLING,Rolling,,ORD-20653,,
GINZA UDHNA,KRISHNA EMB.,VIRENDER,,,TR-520 / NS / 85’’,NS,58’’,155,SKIN,N-28165,18811,,181,726,7,SOFT KATI,kanti,,ORD-20662,,
GINZA UDHNA,POOJA SHREE,VIRENDER,,,L-4008A / NS / 130’’,NS,60’’,185-195,RED APC,N-42013 OLD LOT 16746,18501,,197,591,5,SUPER SOFT ROLL,Rolling,,ORD-20665,,
GINZA UDHNA,JOCKEY,VIRENDER,,,TR-1 / NS / 85’’,NS,57’’,130,V BLEACHED MAUVE,N-19340 OLD LOT 8159 STD,18565,,103,516.5,4,JOCKEY ROLLING,Rolling,urgent,ORD-20679,,
CKU,Absj Fashion Llp (Gurgaon),PIYUSH(CKU),,,NEW DEVELOPMENT-217(100%POLYESTER),P,60,195,BLACK,HF-410,18772,KDC-2849,76.6,,3,SOFT WICKING,Rolling,,CKU-1744,,
GINZA UDHNA,GINZA UDHNA,KULDEEP,,,S-766A/PS-68,PS,56’’,,BOTTEL GREEN,D-15114,17740,,257.74,1107.5,14,SOFT FINISH F K,kanti,FINISH QUALITY 5.20 MTR,ORD-20700,,
GINZA UDHNA,GINZA UDHNA,KULDEEP,,,JL-249/N-66,NN,54’’,,B+HEAT SET,REGULAR,18218,,55.6,238.5,3,SOFT FINISH F K,kanti,FINISH QUALITY 4.60 MTR,ORD-20701,,
GINZA UDHNA,SAGAR PRODUCTS,VIRENDER,,,L-20A / NS /130’’,NS,58’’,165,BLACK APC,N-46992,18621,,178,588,5,SOFT  ROLLING,Rolling,,ORD-20717,,
GINZA UDHNA,SAGAR PRODUCTS,VIRENDER,,,L-20A / NS /130’’,NS,58’’,165,GOLD,N-47132,18622,,294,968,7,SOFT  ROLLING,Rolling,,ORD-20718,,
GINZA UDHNA,SAGAR PRODUCTS,VIRENDER,,,L-20A / NS /130’’,NS,58’’,165,GOLD,N-47132,18623,,295,972,7,SOFT  ROLLING,Rolling,,ORD-20719,,
GINZA UDHNA,SAGAR PRODUCTS,VIRENDER,,,L-20A / NS /130’’,NS,58’’,165,MAROON,N-47011,18624,,295,971,7,SOFT  ROLLING,Rolling,,ORD-20720,,
GINZA UDHNA,SAGAR PRODUCTS,VIRENDER,,,L-20A / NS /130’’,NS,58’’,165,MAROON,N-47011,18625,,293,968,7,SOFT  ROLLING,Rolling,,ORD-20721,,
GINZA UDHNA,SAGAR PRODUCTS,VIRENDER,,,L-20A / NS /130’’,NS,58’’,165,ONION PINK,N-47025,18626,,320,1056,8,SOFT  ROLLING,Rolling,,ORD-20722,,
GINZA UDHNA,SAGAR PRODUCTS,VIRENDER,,,L-20A / NS /130’’,NS,58’’,165,ONION PINK,N-47025,18627,,120,396,3,SOFT  ROLLING,Rolling,,ORD-20723,,
GINZA UDHNA,SAGAR PRODUCTS,VIRENDER,,,L-20A / NS /130’’,NS,58’’,165,NAVY,N-47064,18628,,112,371,3,SOFT  ROLLING,Rolling,,ORD-20724,,
CKU,CULTSPORTS/AMBERNATH,PIYUSH(CKU),,,C-655F,P ,60,150,lavender MIST,M-8191,17604,K-02652,84.2,,3,SOFT WICKING,Rolling,,CKU-1750,,
CKU,CULTSPORTS/AMBERNATH,PIYUSH(CKU),,,C-655F,P ,60,150,lavender MIST,M-8191,17603,K-02651,141,,5,SOFT WICKING,Rolling,,CKU-1751,,
CKU,CULTSPORTS (AMBERNATH),PIYUSH(CKU),,,C-655F,P,60,150,ALLOY,as per ns-1364 lab no cku-21734,17285,K-02569,385.6,,14,SOFT WICKING,Rolling,,CKU-1752,,
CKU,Elite String Apparels Pvt Ltd (Haryana),PIYUSH(CKU),,,NEW SAMPLE-468-78,PS,65,200,RED,CKU-2929,18044,K-02749,106.1,,4,SOFT FINISH,Rolling,PLEASE MATCH WITH APC,CKU-1753,,
CKU,Silvertraq International Private Limited (Tirupur),PIYUSH(CKU),,,C-715F(90%POLYESTER 10%SPANDEX),PS,60,160,NIRVANA CKU-5129,CKU-5129,18829,KDC-2854,191,,8,SOFTWICKING(EXHAUSTMETHOD)+ANTIMICROBIAL,Rolling,,CKU-1754,,
CKU,ARNIT CREATION,PIYUSH(CKU),,,NEW SAMPLE-468-78,PS,65,200,DUSTY MAUVE,HF-3936,17370,K-02584,204.9,,8,SOFT FINISH,Rolling,,CKU-1757,,
CKU,ARNIT CREATION,PIYUSH(CKU),,,NEW SAMPLE-468-78,PS,65,200,PERFORAMNCE BLACK,KDC-2802,17547,K-02640,66.6,,3,SOFT FINISH,Rolling,,CKU-1758,,
CKU,Silvertraq International Private Limited (Tirupur),PIYUSH(CKU),,,C-735FKG,PS,60,260,RHODADENDRON M-7354,M-7354,18830,KDC-2855,203.2,,8,SOFT WICKING(EXHAUST METHOD)+ANTIMICROBIAL,Rolling,,CKU-1759,,
GINZA UDHNA,GINZA UDHNA,KULDEEP,,,S-925D/PS-132,PS,72’’,,OCRE,D-14730,18890,,385,923.5,15,SOFT FINISH F K,kanti,OLD LOT 14775- FINISH QUALITY 2.25 MTR,ORD-20759,,
GINZA UDHNA,SRI KRISHNA,VIRENDER,,,L-74 / NS / 130’’,NS,60’’,190,STRAW BERRY,N-47151,18962,,384,962,10,SUPER SOFT  ROLLING,Rolling,urgent,ORD-20791,,
GINZA UDHNA,SRI KRISHNA,VIRENDER,,,L-74 / NS / 130’’,NS,60’’,190,BLUE,N-47037,18961,,388,971,10,SUPER SOFT  ROLLING,Rolling,urgent,ORD-20792,,
GINZA UDHNA,POOJA SHREE,VIRENDER,,,L-4008A / NS / 130’’,NS,60’’,185/195,NAVY,N-31966 OLD LOT 13398,18901,,395,1184,10,SUPER SOFT  ROLLING,Rolling,urgent,ORD-20793,,
GINZA UDHNA,POOJA SHREE,VIRENDER,,,L-4008A / NS / 130’’,NS,60’’,185/195,SILVER,N-31433 OLD LOT 15663,18896,,396,1188,10,SUPER SOFT  ROLLING,Rolling,,ORD-20795,,
GINZA UDHNA,POOJA SHREE,VIRENDER,,,L-4008A / NS / 130’’,NS,60’’,185/195,BOTTLE GREEN,N-42896 OLD LOT 15674,18900,,240,720,6,SUPER SOFT  ROLLING,Rolling,,ORD-20799,,
GINZA UDHNA,POOJA SHREE,VIRENDER,,,L-4008A / NS / 130’’,NS,60’’,185/195,BLACK,N-31477 OLD LOT 15666,18902,,397,1193,10,SUPER SOFT  ROLLING,Rolling,,ORD-20800,,
GINZA UDHNA,POOJA SHREE,VIRENDER,,,L-4008A / NS / 130’’,NS,60’’,185/195,AIR FORCE,N-45478 OLD LOT 15671,18906,,196,588,5,SUPER SOFT  ROLLING,Rolling,,ORD-20805,,
GINZA UDHNA,POOJA SHREE,VIRENDER,,,L-4008A / NS / 130’’,NS,60’’,185/195,COFFEE,N-45465 OLD LOT 15669,18908,,198,595,5,SUPER SOFT  ROLLING,Rolling,,ORD-20807,,
GINZA UDHNA,B. K. ENT,VIRENDER,,,L-83 / NS / 130’’,NS,58’’,200,RED,LAB NO.,18884,,77,192,2,SOFT KATI,kanti,,ORD-20808,,
GINZA UDHNA,ARNIT CREATIONS,VIRENDER,,,L-4053 / NS / 130’’,NS,62’’,160,BLACK (extra cost ),N-46881 (testing ),18365,,399,1356,10,old lot 7764 finish(last time border tight issue) ROLLING,Rolling,,ORD-20809,,
GINZA UDHNA,ARNIT CREATIONS,VIRENDER,,,L-4053 / NS / 130’’,NS,62’’,160,RICH NAVY,N-46886 (testing ),18366,,200,681,5,old lot 7764 finish(last time border tight issue) ROLLING,Rolling,,ORD-20810,,
CKU,Cup Couture (Chennai),PIYUSH(CKU),,,C-656A(100%POLYFILA),P,63,105,V DEEP TAUPE P-812,P-812,18915,KDC-2872,324.1,,13,SOFTWICKING(EXHAUSTMETHOD)+ANTITHERMAL(DRYNWET),Rolling,,CKU-1773,,
CKU,Arcatron Mobility Private Limited (Pune),PIYUSH(CKU),,,C-917A-62,NS,70,165,Pebble Grey,N-33343,18918,KDC-2875,95.1,,4,SOFT FINISH,Rolling,,CKU-1777,,
CKU,Makhija Brothers (Amardham),PIYUSH(CKU),,,C-917A-62,NS,60,160,PEACH,N-42397,18919,KDC-2876,141.6,,6,SOFT FINISH,Rolling,,CKU-1778,,
CKU,Qmax Fashions Private Limited,PIYUSH(CKU),,,C-917A-72,NS,65,150,ZEPHYR N-33483,N-33483,18920,KDC-2877,180,,6,SOFT FINISH,Rolling,,CKU-1779,,
CKU,Ginza Industries Ltd. (Ambernath Exports),PIYUSH(CKU),,,NEW DEVELOPMENT-211(95%POLYESTER 5%SPANDEX),PS,64,170,GREY,CKU- 20545,18833,KDC-2858,77.4,,3,SOFT WICKING,Rolling,,CKU-1780,,
GINZA UDHNA,AAYUSHI,VIRENDER,,,L-3009 / PS / 130’’,PS,58’’,220,PEACH APC,D-15282,18487,,181,363,4,SOFT ROLLING,Rolling,,ORD-20866,,
GINZA UDHNA,GINZA UDHNA,VIRENDER,,,L-04 / NS / 85’’,NS,58’’,160,WHITE,REGULAR,19033,,114,411,3,SOFT KATI,Rolling,,ORD-20868,,
GINZA UDHNA,GINZA UDHNA,VIRENDER,,,L-04 / NS / 85’’,NS,58’’,160,WHITE,REGULAR,19034,,115,413,3,SOFT KATI,Rolling,,ORD-20869,,
GINZA UDHNA,POOJA SHREE,VIRENDER,,,L-4008A / NS / 130’’,NS,60’’,185,WHITE,REGULAR,19012,,195,584,5,SUPER SOFT ROLLING,Rolling,,ORD-20870,,
GINZA UDHNA,POOJA SHREE,VIRENDER,,,L-4008A / NS / 130’’,NS,60’’,185,N. PURPLE,N-45443 OLD LOT 18499,19014,,198,595,5,SUPER SOFT ROLLING,Rolling,,ORD-20872,,
GINZA UDHNA,POOJA SHREE,VIRENDER,,,L-4008A / NS / 130’’,NS,60’’,185,M FIROJI,N-32002,19015,,194,583,5,SUPER SOFT ROLLING,Rolling,,ORD-20873,,
CKU,PAGE INDUSTRIES LTD UNIT-4,PIYUSH(CKU),,,NEW SAMPLE-1228A,PS,60,140,J GRANITE,AS PER LOT 6808,18964,KDC-2880,149.9,,5,SOFT WICKING(EXHAUST METHOD),Rolling,,CKU-1782,,
CKU,K D M Clothing Co (Ludhiana),PIYUSH(CKU),,,NEW DEVELOPMENT-185(96%POLYFILA 4%SPANDEX),PS,60,270,NAVY MELANGE,RFD,18971,KDC-2887,381,,15,SOFT FINISH,Rolling,,CKU-1783,,
CKU,K D M Clothing Co (Ludhiana),PIYUSH(CKU),,,NEW DEVELOPMENT-185(96%POLYFILA 4%SPANDEX),PS,60,270,NAVY MELANGE,RFD,18970,KDC-2886,380.1,,15,SOFT FINISH,Rolling,,CKU-1784,,
CKU,K D M Clothing Co (Ludhiana),PIYUSH(CKU),,,NEW DEVELOPMENT-185(96%POLYFILA 4%SPANDEX),PS,60,270,QATMEAL MELANGE,RFD,18972,kdc-2888,355,,12,SOFT FINISH,Rolling,,CKU-1785,,
CKU,Arcatron Mobility Private Limited (Pune),PIYUSH(CKU),,,C-917A-62,NS,70,165,BROWN,N-33349,18976,KDC-2892,198.68,,8,SOFT FINISH,Rolling,,CKU-1786,,
CKU,K D M Clothing Co (Ludhiana),PIYUSH(CKU),,,NEW DEVELOPMENT-185(96%POLYFILA 4%SPANDEX),PS,60,270,NAVY MELANGE,RFD,18969,KDC-2885,380.8,,15,SOFT FINISH,Rolling,,CKU-1790,,
CKU,K D M Clothing Co (Ludhiana),PIYUSH(CKU),,,NEW DEVELOPMENT-185(96%POLYFILA 4%SPANDEX),PS,60,270,QATMEAL MELANGE,RFD,18973,KDC-2889,177.7,,6,SOFT FINISH,Rolling,,CKU-1791,,
CKU,Reliance Retail Limited (Richmond Road - Bangalore),PIYUSH(CKU),,,C-735B MILANGE,PS,60,250,GREY MELANGE,RFD,18974,KDC-2890,408.6,,13,SOFT WICKING (EXHAUST METHOD),Rolling,,CKU-1792,,
CKU,Reliance Retail Limited (Richmond Road - Bangalore),PIYUSH(CKU),,,C-735B MILANGE,PS,60,250,GREY MELANGE,RFD,18975,KDC-2891,395.7,,13,SOFT WICKING (EXHAUST METHOD),Rolling,,CKU-1793,,
GINZA UDHNA,,ARIK,,,L-126B / NS / 65,NS,44”,5.5,BOIL HEAT SET,,19041,,14.34,84,1,REGULAR F K,kanti,,ORD-20948,,
GINZA UDHNA,PAGE,SUNIL,,,A-2103/N/65”,N,59”,,V GREY RIDGE,,,GRP/303,35,560,2,F K,kanti,,ORD-20971,,
CKU,Makhija Brothers (Amardham),PIYUSH(CKU),,,C-917A-62,NS,60,150,PEACH,N-42397,19052,KDC-2893,195.7,,8,SOFT FINISH ,Rolling,,CKU-1796,,
CKU,Garland Apparels (Tirupur),PIYUSH(CKU),,,C-917FKG,NS,60,160,OLIVE,N-31035,19053,KDC-2894,209.4,,7,SOFT FINISH,Rolling,,CKU-1797,,
CKU,Cup Couture (Chennai),PIYUSH(CKU),,,C-656A(100%POLYFILA),P,63,105,HEATHER ROSE M-5017,M-5017,19055,KDC-2896,324.3,,13,SOFTWICKING(EXHAUSTMETHOD)+ANTITHERMAL(DRYNWET),Rolling,,CKU-1798,,
CKU,Cup Couture (Chennai),PIYUSH(CKU),,,C-656A(100%POLYFILA),P,63,105,V MICROCHIP CKU-18743,CKU-18743,19056,KDC-2897,174.8,,7,SOFTWICKING(EXHAUSTMETHOD)+ANTITHERMAL(DRYNWET),Rolling,,CKU-1799,,
