Party,Sub Party,Sales Person,Sales Branch,Sales Person.0,Article,Blend,Width,GSM,Color,Lab No.,Lot No,Challan No.,Qty (Kg),Qty (Mtr.),No. of Taka,Type of Finish,Type of Packing,Remarks,Order Number,,Manual Conf.
GINZA UDHNA,SOUMYA,SUNIL,,,"A-1105/P/65""",POLY,"56""",-,BOIL HEAT SET,-,19086,GRP/0282/02/26,38.9,564,3,REGULAR,-,BOIL HEAT SET WITH PH MAINTAIN FOR PRINT USE,UDN-377,,
GINZA UDHNA,INTIMATE,SUNIL,,,"A-2103/N/65""",NYLON,"59""",-,V DEEP TAUPE,-,21062,GRP/0310/03/26,34.6,554,2,REGULAR,-,,UDN-378,,
GINZA UDHNA,PAGE,SUNIL,,,"A-2103/N/65""",NYLON,"59""",-,V W SKIN,-,21058,GRP/0306/03/26,34.6,554,2,REGULAR,-,,UDN-379,,
GINZA UDHNA,INTIMATE,SUNIL,,,"A-2103/N/65""",NYLON,"59""",-,V CANDLE LIGHT PEACH,-,21061,GRP/0309/03/26,34.6,554,2,REGULAR,-,,UDN-380,,
GINZA UDHNA,INTIMATE,SUNIL,,,"A-2103/N/65""",NYLON,"59""",-,V NEW STILL GREY MILANGE,-,21063,GRP/0311/03/26,34.4,550.5,2,REGULAR,-,,UDN-381,,
GINZA UDHNA,PAGE,SUNIL,,,"A-1519B/P/65""",POLY,"58""",-,V SEA FOG,D-1206,20926,GRP/0248/03/26,20.4,77,1,REGULAR,ROLL PACKING,NEED BLUER ,UDN-382,,
GINZA UDHNA,REGULAR,SUNIL,,,"A-2081F/N/65""",NYLON,"56""",-,HEAT SET,-,21052,GRP/0300/03/26,112.76,2144.5,8,REGULAR,-,,UDN-383,,
GINZA UDHNA,MAKHIJA,SUNIL,,,"A-2033/N/65""",NYLON,"56""",-,WHITE,-,21053,GRP/0301/03/26,277.07,2355.5,19,REGULAR,-,,UDN-384,,
GINZA UDHNA,MITTAL,SUNIL,,,"A-2162A/N/65""",NYLON,"60""",-,WHITE,-,21054,GRP/0302/03/26,411.6,5147.5,23,REGULAR,-,,UDN-385,,
GINZA UDHNA,PAGE,SUNIL,,,"A-2103/N/65""",NYLON,"59""",-,V W SKIN,-,21055,GRP/0303/03/26,34.8,557,2,REGULAR,-,,UDN-386,,
GINZA UDHNA,PAGE,SUNIL,,,"A-2103/N/65""",NYLON,"59""",-,V W SKIN,-,21056,GRP/0304/03/26,34.7,555.5,2,REGULAR,-,,UDN-387,,
GINZA UDHNA,PAGE,SUNIL,,,"A-2103/N/65""",NYLON,"59""",-,V W SKIN,-,21057,GRP/0305/03/26,34.4,550.5,2,REGULAR,-,,UDN-388,,
GINZA UDHNA,PAGE,SUNIL,,,"A-2103/N/65""",NYLON,"59""",-,V W SKIN,-,21059,GRP/0307/03/26,34.4,550.5,2,REGULAR,-,,UDN-389,,
GINZA UDHNA,INTIMATE,SUNIL,,,"A-2103/N/65""",NYLON,"59""",-,V BEET RED,-,21060,GRP/0308/03/26,34.2,548.5,2,REGULAR,-,,UDN-390,,
GINZA UDHNA,INTIMATE,SUNIL,,,"A-2103/N/65""",NYLON,"59""",-,V P BLACK,-,21064,GRP/0312/03/26,34.6,554,2,REGULAR,-,,UDN-391,,
GINZA UDHNA,K G SPORTS,VIRENDRA,,,L-3054 / PS / 130'',PS,58'',220-225,BLACK APC ,OLD LOT 14441/2024,20742,218,214,493,5,STD CUTTING FINISH,Roll,CIL CUTTING SEND FOR MATCHING,UDN-392,,
GINZA UDHNA,B.K. ENTERPRISES,ARIK,,,L-101B / NS / 65,NS,44,162,NUDE,"MIX AND MACH L-92B , APC CUTTING RAJESH MASTER KE PASS HAI",20821,232,75.26,451.5,5,REGULAR,TAKA FORM,"FINISH QULITY 5.5 , APC CUTTING RAJESH MASTER KE PASS HAI , MIX AND MACH L-92B",UDN-393,,
GINZA UDHNA,B.K. ENTERPRISES,ARIK,,,L-101B / NS / 65,NS,44,162,LIGHT WINE,"MIX AND MACH L-92B , APC CUTTING RAJESH MASTER KE PASS HAI",20820,231,75.32,452,5,REGULAR,TAKA FORM,"FINISH QULITY 5.5 , APC CUTTING RAJESH MASTER KE PASS HAI , MIX AND MACH L-92B",UDN-394,,
GINZA UDHNA,B.K. ENTERPRISES,ARIK,,,L-101B / NS / 65,NS,44,162,ONION,"MIX AND MACH L-92B , APC CUTTING RAJESH MASTER KE PASS HAI",20818,229,57,342.5,4,REGULAR,TAKA FORM,"FINISH QULITY 5.5 , APC CUTTING RAJESH MASTER KE PASS HAI , MIX AND MACH L-92B",UDN-395,,
GINZA UDHNA,B.K. ENTERPRISES,ARIK,,,L-101B / NS / 65,NS,44,162,LIGHT GREY,"MIX AND MACH L-92B , APC CUTTING RAJESH MASTER KE PASS HAI",20819,230,39.38,236,3,REGULAR,TAKA FORM,"FINISH QULITY 5.5 , APC CUTTING RAJESH MASTER KE PASS HAI , MIX AND MACH L-92B",UDN-396,,
GINZA UDHNA,GINZA,KULDEEP,,,108ZA /N/ 24 PATTI,N,24 PATTI,-,WHITE,REGULAR,21134,-,1072.5,71.5,9,HARD,KATI,FINISH QLTY-14,UDN-397,,
GINZA UDHNA,GINZA,KULDEEP,,,S-914A /NS/ 66,NS,56'',-,WHITE,REGULAR,21133,-,179,821.5,12,SOFT,KATI,FINISH QLTY-5.80,UDN-398,,
GINZA UDHNA,GINZA,KULDEEP,,,S-529 /N/ 66,N,54'',-,WHITE,REGULAR,21132,-,115.56,503.5,7,SOFT,KATI,FINISH QLTY-5.20,UDN-399,,
CKU,Cup Couture (Chennai),PIYUSH(CKU),,,C-656A(100%POLYFILA),P,63,105,MOCHA,M-5170,1590,KDC-230,348,,13,SOFTWICKING(EXHAUSTMETHOD)+ANTITHERMAL(DRYNWET),Rolling,,CKU-2156,,
CKU,Cup Couture (Chennai),PIYUSH(CKU),,,C-656A(100%POLYFILA),P,63,105,MOCHA,M-5170,6851,KDC-983,319,,13,SOFTWICKING(EXHAUSTMETHOD)+ANTITHERMAL(DRYNWET),Rolling,,CKU-2157,,
CKU,PIYUSH(CKU),PIYUSH(CKU),,,C-672,P,64,120,PEARL,CKU-21997,21043,KDC-184,342,,14,SOFTWICKING(EXHAUSTMETHOD)+ANTITHERMAL(DRYNWET),Rolling,,CKU-2158,,
CKU,B.K. Enterprises (Delhi),PIYUSH(CKU),,,C-222A (90%MICROMODAL 10%SPANDEX),CS,72,200,MAROON,CL-40800,20914,KDC-157,214.7,,7,SILICON FINISH,Rolling,,CKU-2159,,
CKU,B.K. Enterprises (Delhi),PIYUSH(CKU),,,C-222A (90%MICROMODAL 10%SPANDEX),CS,72,200,MAROON,CL-40800,20915,KDC-158,357.2,,12,SILICON FINISH,Rolling,,CKU-2160,,
CKU,B.K. Enterprises (Delhi),PIYUSH(CKU),,,C-222A (90%MICROMODAL 10%SPANDEX),CS,72,200,EVENING BLUE,CL-41302,20916,KDC-159,175,,6,SILICON FINISH,Rolling,,CKU-2161,,
CKU,B.K. Enterprises (Delhi),PIYUSH(CKU),,,C-222A (90%MICROMODAL 10%SPANDEX),CS,72,200,GRAPE,CL-40778,20917,KDC-160,212,,7,SILICON FINISH,Rolling,,CKU-2162,,
CKU,B.K. Enterprises (Delhi),PIYUSH(CKU),,,C-222A (90%MICROMODAL 10%SPANDEX),CS,72,200,MAROON,CL-40800,20918,KDC-161,209.1,,7,SILICON FINISH,Rolling,,CKU-2163,,
CKU,Cup Couture (Chennai),PIYUSH(CKU),,,C-656A(100%POLYFILA),P,63,105,V POTENT PURPLE,HF-4416,21003,KDC-172,349,,14,SOFTWICKING(EXHAUSTMETHOD)+ANTITHERMAL(DRYNWET),Rolling,,CKU-2164,,
CKU,B.K ENTERPRISES,PIYUSH(CKU),,,NS-1234,PS,60,200,RFD,CBR HEATSET FINISH,21039,KDC-180,290,,12,SOFT FINISH,Rolling,,CKU-2165,,
CKU,B.K ENTERPRISES,PIYUSH(CKU),,,C-213,CS,72,160,ONINON RUST ,CL-33233,21041,KDC-182,419,,14,EXTRA SOFT FINISH,Rolling,,CKU-2166,,
CKU,B.K ENTERPRISES,PIYUSH(CKU),,,C-213,CS,72,160,WHITE,CL-40980,21042,KDC-183,412,,14,EXTRA SOFT FINISH,Rolling,,CKU-2167,,
CKU,PAGE INDUSTRIES,PIYUSH(CKU),,,NS-1228A,PS,60,140,V P BLACK,P-118,20908,KDC-151,372,,13,SOFT WICKING(EXHAUST METHOD),Rolling,,CKU-2168,,
CKU,B.K ENTERPRISES,PIYUSH(CKU),,,C-735A ,PS,60,250, MAUVE,CKU-19438,20775,KDC-99,352,,14,SOFT FINISH,Rolling,DOUBLE SIDE BRUSHING,CKU-2169,,
CKU,B.K ENTERPRISES,PIYUSH(CKU),,,C-735A ,PS,60,250, MAUVE,CKU-19438,20776,KDC-100,152,,6,SOFT FINISH,Rolling,DOUBLE SIDE BRUSHING,CKU-2170,,
CKU,Encot Fabrics Pvt Ltd (Boisar),PIYUSH(CKU),,,NEW SAMPLE-489AF(92%POLYFILAMENT 08%SPANDEX),PS,60,210,RFD,RFD,21185,KDC-199,408,,16,HANDFEELSHOULDBEASPERCUTTINGAPC-290403LYINGWITHAJAYMASTER,Rolling,,CKU-2173,,
CKU,B.K. Enterprises (Delhi),PIYUSH(CKU),,,C-213,CS,72,160,COFFEE CL-40397,CL-40397,21186,KDC-200,209,,7,EXTRA SOFT FINISH,Rolling,,CKU-2174,,
CKU,Cup Couture (Chennai),PIYUSH(CKU),,,C-672,P,64,120,ANIES FLOWER ,CKU-22793,21190 A ,KDC-204,96,,4,SOFTWICKING(EXHAUSTMETHOD)+ANTITHERMAL(DRYNWET),Rolling,,CKU-2175,,
CKU,Laj Lifestyle Pvt Ltd (Noida),PIYUSH(CKU),,,C-655,P,60,150,RFD,RFD,21196,KDC-210,366,,13,SOFT WICKING+PH MAINTAIN,Rolling,,CKU-2176,,
CKU,Laj Lifestyle Pvt Ltd (Noida),PIYUSH(CKU),,,C-655,P,60,150,RFD,RFD,21197,KDC-211,366,,13,SOFT WICKING+PH MAINTAIN,Rolling,,CKU-2177,,
CKU,SAMPLE,PIYUSH(CKU),,,ND-294,P,60-70,160,NAVY,-,20910,KDC-153,25.5,,1,SOFT WICKING,Rolling,,CKU-2178,,
CKU,AMBERNATH,PIYUSH(CKU),,,ND-61,PS,60,150,CONFETTI,CKU-23338,19838,KDC-22,205,,7,ANTI STATIC WICKING FASTDRAND ANTIMICROBIAL,Rolling,,CKU-2179,,
CKU,AMBERNATH,PIYUSH(CKU),,,ND-61,PS,60,150,BLACK BEAUTY,HF-4453,19839,KDC-23,205,,8,ANTI STATIC WICKING FASTDRAND ANTIMICROBIAL,Rolling,,CKU-2180,,
CKU,AMBERNATH,PIYUSH(CKU),,,ND-61,PS,60,150,WHITE CAP GREY,CKU-23318,19840,KDC-24,210,,8,ANTI STATIC WICKING FASTDRAND ANTIMICROBIAL,Rolling,,CKU-2181,,
CKU,AMBERNATH,PIYUSH(CKU),,,ND-61,PS,60,150,PURPLE HAZE,CKU-23325,19841,KDC-25,205,,8,ANTI STATIC WICKING FASTDRAND ANTIMICROBIAL,Rolling,,CKU-2182,,
CKU,SAMPLE,PIYUSH(CKU),,,ND-296,PS,60,180,WHITE,-,21121,KDC-187,23.65,,1,SOFT WICKING,Rolling,,CKU-2183,,
CKU,TORAM CREATORS PRIVATE LIMITED. (MADURAI),PIYUSH(CKU),,,NEW DEVELOPMENT-215C(Polyester100%),P,65,165,GREY,CKU-21540,21122,KDC-188,392,,14,EXTRA SOFT FINISH,Rolling,,CKU-2184,,
